id;name;valid_from;valid_to
1;Buckinghamshire Fantastic;2019-12-12T11:45:12;2019-12-12T16:40:31
2;seize Licensed web services;2019-12-12T22:49:16;2019-12-12T22:37:32
3;Benin;2019-12-12T20:37:28;2019-12-12T18:57:21
4;quantify motivating project;2019-12-12T12:05:30;2019-12-12T18:00:45
5;Human;2019-12-12T14:43:24;2019-12-12T15:01:53
6;Ridge;2019-12-12T14:07:42;2019-12-12T08:28:40
7;methodology;2019-12-12T06:56:37;2019-12-12T18:48:05
8;Product Chips Avon;2019-12-12T13:09:40;2019-12-12T22:40:03
9;Pants;2019-12-12T06:03:37;2019-12-12T09:55:58
10;hacking help-desk;2019-12-12T08:20:59;2019-12-12T12:44:56
