id;name;location;latest_recorded_population;valid_from;valid_to
1;syndicate haptic;Bedfordshire;40895;2019-12-12T10:10:54;2019-12-12T08:59:26
2;Baby Credit Card Account Nevada;Persistent transparent Chips;90845;2019-12-12T19:17:43;2019-12-12T13:30:52
3;strategize;value-added Savings Account;91185;2019-12-12T13:26:47;2019-12-13T00:10:37
4;Generic Advanced;HDD Security Virginia;69665;2019-12-12T08:33:14;2019-12-12T05:22:33
5;alarm;quantify;37443;2019-12-12T12:57:17;2019-12-13T01:51:42
6;Handmade Unbranded;Chief Coves Concrete;98484;2019-12-12T23:32:35;2019-12-12T07:22:56
7;Fresh;strategy instruction set Persistent;60789;2019-12-12T17:56:23;2019-12-12T18:24:45
8;navigate;neural;463;2019-12-12T13:01:35;2019-12-12T19:30:42
9;synergize;JSON National;46570;2019-12-12T19:11:20;2019-12-12T15:58:32
10;District Idaho Grocery;Concrete Towels Avon;41892;2019-12-13T02:42:09;2019-12-12T05:33:35
