id;cold_room_sensor_number;recorded_when;temperature;valid_from;valid_to
1;92456;2019-12-12T21:31:01;44330;2019-12-12T15:09:21;2019-12-12T14:14:06
2;53555;2019-12-12T21:23:56;35688;2019-12-12T09:41:43;2019-12-12T19:01:30
3;7663;2019-12-12T07:37:51;87263;2019-12-12T08:34:23;2019-12-12T07:38:29
4;30779;2019-12-12T22:19:50;91378;2019-12-12T08:05:33;2019-12-12T04:38:55
5;78635;2019-12-12T19:40:27;63221;2019-12-12T19:00:35;2019-12-12T18:33:06
6;50563;2019-12-12T21:00:00;94112;2019-12-12T21:57:12;2019-12-12T06:29:04
7;31860;2019-12-13T01:03:16;90355;2019-12-12T18:05:26;2019-12-13T01:39:09
8;55337;2019-12-12T07:37:24;50313;2019-12-12T19:08:34;2019-12-12T22:51:48
9;52159;2019-12-12T06:54:16;79448;2019-12-12T11:16:10;2019-12-12T06:17:28
10;83790;2019-12-12T19:14:29;85876;2019-12-12T16:25:55;2019-12-12T09:33:20
