id;currency_rate_date;fromcode;tocode;average_rate;end_of_day_rate;last_edited_by;last_edited_when
1;2019-12-12T04:34:00;Frozen Licensed withdrawal;Trinidad and Tobago Dollar markets Extended;84087;93031;Triple-buffered;2019-12-12T08:46:04
2;2019-12-12T16:26:25;withdrawal withdrawal District;Polarised Senior;45061;51840;Computer matrix Berkshire;2019-12-12T11:11:26
3;2019-12-13T02:22:04;Ergonomic Soft Fish;Licensed Steel Computer Books;95650;50857;facilitate Green Director;2019-12-12T04:13:05
4;2019-12-12T08:55:27;invoice grey Shirt;Northern Mariana Islands;83053;76437;full-range;2019-12-13T03:00:47
5;2019-12-13T01:31:59;Cambridgeshire;regional compress Personal Loan Account;38193;66735;Music;2019-12-12T21:23:09
6;2019-12-12T12:45:20;bypass;Operations Camp;89581;96848;back-end;2019-12-12T20:29:17
7;2019-12-12T16:07:55;Rubber Borders Legacy;bluetooth deposit;12809;4373;Unbranded Savings Account;2019-12-13T01:14:08
8;2019-12-12T18:35:02;architectures niches;Sausages content-based;92831;12150;tan TCP invoice;2019-12-12T20:39:15
9;2019-12-12T11:24:04;standardization IB Universal;Proactive override;46053;97839;input Rhode Island Tuna;2019-12-13T02:13:23
10;2019-12-12T23:15:27;Saint Kitts and Nevis;user-facing Armenia panel;10794;13172;bandwidth parsing tan;2019-12-12T15:22:32
