id;name;valid_from;valid_to
1;Refined RAM 1080p;2019-12-12T15:23:28;2019-12-12T19:50:38
2;Administrator Cambridgeshire Metal;2019-12-12T10:06:42;2019-12-12T12:17:02
3;Chips;2019-12-12T06:20:59;2019-12-12T04:00:05
4;deposit Steel;2019-12-12T11:01:53;2019-12-12T14:04:55
5;Antarctica (the territory South of 60 deg S);2019-12-12T10:15:05;2019-12-12T07:45:54
6;blue innovate Officer;2019-12-12T19:25:54;2019-12-12T06:55:11
7;programming;2019-12-12T14:32:13;2019-12-13T00:51:28
8;copy Architect Internal;2019-12-12T11:52:33;2019-12-12T16:29:37
9;end-to-end;2019-12-12T15:39:17;2019-12-12T07:51:14
10;FTP Chile Realigned;2019-12-13T00:48:19;2019-12-12T07:41:33
