id;transaction_date;amount_excluding_tax;tax_amount;transaction_amount;outstanding_balance;finalization_date;is_finalized;last_edited_by;last_edited_when
1;2019-12-12T19:20:48;69415;86638;51265;21552;2019-12-12T20:11:18;false;Small Soft Gloves;2019-12-12T17:43:00
2;2019-12-12T11:50:24;75924;93830;90360;87120;2019-12-12T21:55:46;true;primary invoice multimedia;2019-12-12T05:44:36
3;2019-12-12T06:32:05;67073;18;56044;16908;2019-12-13T00:51:08;false;brand Synergistic;2019-12-12T18:21:26
4;2019-12-12T14:23:47;12884;38040;41276;97680;2019-12-12T08:15:34;false;synergies Practical Soft Chair;2019-12-12T05:28:56
5;2019-12-12T04:19:34;28003;12745;85834;70768;2019-12-12T20:30:10;true;synthesizing Trinidad and Tobago Dollar backing up;2019-12-12T03:57:11
6;2019-12-12T04:24:31;62134;72667;55918;30475;2019-12-12T12:26:18;true;motivating RSS;2019-12-13T00:48:50
7;2019-12-12T22:16:24;70368;12024;54069;6834;2019-12-13T01:11:56;false;Small Rubber Shoes;2019-12-12T20:42:14
8;2019-12-12T20:17:08;82453;59835;7424;29723;2019-12-12T22:05:00;false;quantify Ergonomic Fresh Salad SCSI;2019-12-12T11:29:19
9;2019-12-12T19:35:10;59322;34040;89230;98902;2019-12-12T23:04:05;true;Dominica;2019-12-12T07:24:01
10;2019-12-12T08:26:46;28529;3467;42918;58280;2019-12-12T21:05:21;true;COM Norfolk Island Gorgeous Fresh Bike;2019-12-12T13:08:26
