id;name;valid_from;valid_to
1;e-services;2019-12-12T06:03:27;2019-12-12T10:07:47
2;override;2019-12-12T22:42:26;2019-12-13T02:46:07
3;payment efficient RSS;2019-12-12T16:09:32;2019-12-12T14:28:42
4;Mouse fuchsia Licensed;2019-12-12T23:49:41;2019-12-12T09:00:50
5;connecting back up;2019-12-12T12:29:12;2019-12-12T08:23:34
6;4th generation;2019-12-12T05:37:55;2019-12-12T05:24:56
7;Savings Account online Avon;2019-12-13T00:42:01;2019-12-12T13:09:22
8;Credit Card Account;2019-12-12T21:34:29;2019-12-12T17:11:18
9;teal Avon;2019-12-13T01:58:29;2019-12-12T11:52:46
10;data-warehouse South Carolina;2019-12-12T17:07:04;2019-12-12T20:04:02
