id;description;quantity;unit_price;tax_rate;tax_amount;line_profit;extended_price;last_edited_by;last_edited_when
1;Bedfordshire withdrawal Unbranded Concrete Chair;36185;3976;47249;60407;4564;90738;Extended;2019-12-12T16:14:41
2;Highway Manors Savings Account;46974;61078;44746;28068;47428;20699;Borders Sports;2019-12-13T03:19:55
3;gold;3672;84392;10802;28490;33886;46285;interfaces tan empower;2019-12-13T02:27:02
4;foreground bypassing mobile;81820;11383;53159;34522;87986;50741;TCP Buckinghamshire;2019-12-12T10:39:43
5;Architect;13148;92942;27473;16520;39457;38987;interface JSON;2019-12-12T11:24:48
6;Phased Guyana Dollar secured line;71842;95506;95403;82119;72139;156;deposit Handmade Concrete Bacon Small Rubber Pizza;2019-12-12T11:02:16
7;Metal;38383;80035;45623;66266;36905;9228;Investment Account;2019-12-12T14:19:34
8;Senior optimize forecast;74985;94172;41267;66857;64609;67866;visionary Home Loan Account;2019-12-13T03:16:22
9;deposit Direct;61257;15432;87369;17184;72397;63787;reboot;2019-12-12T14:47:46
10;connecting;99126;14213;82001;1170;69488;42203;heuristic Avon;2019-12-12T13:39:48
