id;carrier_tracking_number;quantity;unit_price;unit_price_discount;line_total;tax_rate;picked_quantity;picking_completed_when;status;last_edited_by;last_edited_when
1;Ramp;5784;58220;95778;99020;94272;23915;2019-12-12T08:40:18;BACK_ORDER;Licensed sticky;2019-12-12T22:06:25
2;orchid Fresh Auto Loan Account;78132;31514;57829;27623;14696;98165;2019-12-12T08:02:57;BACK_ORDER;scalable collaborative;2019-12-12T05:29:47
3;object-oriented Mountains;89014;6062;70772;68999;6220;69009;2019-12-12T23:58:50;AVAILABLE;Paradigm Saint Martin;2019-12-12T21:42:38
4;Cambridgeshire Codes specifically reserved for testing purposes;7623;62090;27470;92866;80696;76085;2019-12-12T16:29:03;AVAILABLE;Pizza Manors;2019-12-12T22:29:44
5;Handcrafted Fresh Keyboard Strategist haptic;85378;39185;24197;65911;96062;10889;2019-12-12T22:47:23;BACK_ORDER;Designer Hawaii high-level;2019-12-12T17:01:41
6;Savings Account Intelligent Rubber Chair Supervisor;19010;82939;79259;73212;90789;35504;2019-12-12T04:52:02;BACK_ORDER;Pizza Springs;2019-12-12T10:16:34
7;Enterprise-wide;64061;45823;66660;78134;16269;96016;2019-12-12T13:57:14;AVAILABLE;dynamic Infrastructure Self-enabling;2019-12-12T12:17:29
8;gold;32166;17788;84804;51468;72886;80827;2019-12-13T01:13:35;AVAILABLE;Turnpike deposit;2019-12-13T00:40:19
9;bottom-line recontextualize Principal;99325;49467;4491;51272;76100;48154;2019-12-12T18:35:41;BACK_ORDER;Division;2019-12-12T13:39:54
10;extensible;78754;99244;25100;38632;56407;57384;2019-12-12T18:54:36;AVAILABLE;Principal Small Cambridgeshire;2019-12-12T22:12:56
