id;order_date;due_date;ship_date;payment_status;order_flag;order_number;sub_total;tax_amount;frieight;total_due;comments;delivery_instructions;internal_comments;picking_completed_when;status;last_edited_by;last_edited_when
1;2019-12-12T09:28:25;2019-12-13T02:34:54;2019-12-12T22:01:38;3601;95632;Pizza;67954;28247;22489;95045;Oklahoma architectures;convergence pricing structure;bifurcated killer Human;2019-12-12T04:48:04;PENDING;Borders teal Illinois;2019-12-12T23:02:55
2;2019-12-12T20:25:10;2019-12-12T19:33:30;2019-12-12T13:15:53;85503;3280;deposit;36435;6900;29524;94078;Berkshire partnerships neural;Incredible Metal Chicken input world-class;Hat RSS Aruba;2019-12-12T20:44:12;COMPLETED;Rubber generate;2019-12-13T03:30:56
3;2019-12-12T13:20:45;2019-12-12T17:31:06;2019-12-13T02:02:38;52251;36217;matrix;20056;22612;20357;30419;help-desk;TCP;microchip;2019-12-12T04:18:43;PENDING;index synthesizing;2019-12-12T17:22:23
4;2019-12-12T12:53:06;2019-12-12T20:14:44;2019-12-12T06:00:40;32529;81802;Sharable client-server Cotton;33696;90194;99954;80669;Manager input;Montenegro Tuna;Practical Saint Kitts and Nevis;2019-12-12T10:29:33;CANCELLED;Indiana Web;2019-12-13T02:29:52
5;2019-12-12T15:57:04;2019-12-12T21:08:53;2019-12-12T18:50:06;60155;94920;payment;12994;75900;56009;10251;Buckinghamshire Bedfordshire holistic;Stream Chicken Fish;Squares;2019-12-12T05:24:44;CANCELLED;FTP 4th generation auxiliary;2019-12-12T22:49:49
6;2019-12-13T00:06:14;2019-12-12T19:13:40;2019-12-12T22:23:40;33561;66514;Pizza Metal input;67105;56207;43532;94709;Bedfordshire grow;Buckinghamshire;circuit implement;2019-12-13T02:54:41;CANCELLED;partnerships Optional firewall;2019-12-12T07:54:18
7;2019-12-12T10:34:03;2019-12-12T14:24:06;2019-12-12T14:41:35;96703;54073;convergence;30883;71845;48226;86264;Chips;hard drive Markets Customer-focused;SAS Chicken migration;2019-12-12T20:33:18;CANCELLED;primary Fully-configurable;2019-12-12T12:31:09
8;2019-12-12T05:04:09;2019-12-12T13:47:39;2019-12-12T07:05:59;83283;98190;Checking Account Progressive Car;18691;54885;1979;28763;collaboration best-of-breed;Tactics mindshare;maximize Gorgeous Soft Pants asymmetric;2019-12-12T17:07:47;COMPLETED;seize;2019-12-12T04:50:58
9;2019-12-12T03:56:49;2019-12-12T12:06:52;2019-12-12T08:40:46;67147;73348;Concrete redundant;78526;75093;60110;10137;eco-centric value-added functionalities;Movies Motorway Officer;Designer;2019-12-13T00:47:48;PENDING;sexy;2019-12-12T17:58:24
10;2019-12-13T01:44:20;2019-12-12T21:10:24;2019-12-12T12:59:04;20533;51678;port withdrawal;54960;65675;68977;96853;Home Loan Account;Car;Brand hardware Handcrafted;2019-12-12T13:08:20;COMPLETED;Clothing Coordinator;2019-12-12T21:29:40
