id;name;valid_from;valid_to
1;synergies Money Market Account;2019-12-12T23:40:02;2019-12-12T16:29:44
2;initiatives feed architect;2019-12-12T15:46:16;2019-12-13T00:41:41
3;Fish Sports;2019-12-12T10:15:59;2019-12-12T14:45:03
4;haptic capacity Belgium;2019-12-12T19:13:50;2019-12-13T03:03:25
5;Fish Human;2019-12-12T21:43:09;2019-12-13T00:36:00
6;deposit Idaho;2019-12-13T00:40:27;2019-12-12T15:03:17
7;Money Market Account;2019-12-12T21:37:39;2019-12-12T23:30:35
8;Integrated;2019-12-12T21:05:37;2019-12-12T21:53:43
9;ivory Intranet;2019-12-12T12:43:30;2019-12-12T03:50:47
10;technologies index;2019-12-12T06:36:03;2019-12-12T14:32:04
