id;video_url;highlights;long_description;short_description;description;care_instructions;product_type;model_name;model_number;fabric_type;special_features;product_compliance_certificate;genuine_and_legal;country_of_origin;usage_and_side_effects;safety_warnning;warranty_period;warranty_policy
1;Isle;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;success Ergonomic Granite Hat iterate;benchmark bypassing;Representative;connect;../fake-data/blob/hipster.txt;Buckinghamshire cross-platform Unbranded;false;Money Market Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Kina;Chief Manager Jewelery
2;card;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;disintermediate;cohesive;Metrics;deposit array Administrator;../fake-data/blob/hipster.txt;Self-enabling Investment Account;true;hacking parse Cuba;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;definition quantify;Borders Cotton
3;copy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Senior;encoding;strategic withdrawal;productize;../fake-data/blob/hipster.txt;COM;true;Congolese Franc Kids open-source;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;markets Cedi interfaces;Adaptive Quality
4;invoice;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Berkshire;Specialist convergence Cambridgeshire;Roads front-end Seychelles;ADP Views Green;../fake-data/blob/hipster.txt;Vista synthesize;true;SCSI;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Lane Ergonomic Rubber Chair models;CSS gold Towels
5;Licensed Frozen Gloves;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;empower Berkshire;THX methodology mint green;Bedfordshire;mobile Fall Adaptive;../fake-data/blob/hipster.txt;Incredible;false;copying Industrial Meadow;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Car;Lodge Reactive holistic
6;Sleek Wooden Computer matrix motivating;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;back up;Movies;Music turquoise e-markets;vortals Home multi-byte;../fake-data/blob/hipster.txt;Soft;true;Michigan haptic Architect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;syndicate;Human cross-platform Borders
7;Brand Factors Avon;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Falkland Islands (Malvinas) Principal;Granite;emulation Response;repurpose Planner Licensed Rubber Shirt;../fake-data/blob/hipster.txt;Dale;true;sexy Gorgeous Steel Gloves;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Refined;Vista
8;Markets end-to-end Louisiana;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;auxiliary Auto Loan Account Usability;Awesome Soap Factors;auxiliary Computers;Rapids Dobra;../fake-data/blob/hipster.txt;silver SQL Operations;false;AI Rustic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Liaison;Sleek Fresh Soap Intelligent Concrete Towels Handcrafted
9;Avon;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Rial Omani Cotton synthesizing;Chair e-enable value-added;Seamless Health;haptic South Carolina;../fake-data/blob/hipster.txt;wireless program;false;generate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;bifurcated;olive
10;Borders;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;parsing Awesome;THX Fresh Illinois;Passage International withdrawal;Rustic Fort;../fake-data/blob/hipster.txt;Utah program;false;Personal Loan Account Ecuador Berkshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Internal Director e-business;Hat
