id;ordered_outers;description;received_outers;expected_unit_price_per_outer;last_receipt_date;is_order_line_finalized;last_edited_by;last_edited_when
1;27571;transitional;78712;24954;2019-12-12T04:07:12;false;index Summit;2019-12-12T08:52:30
2;26813;Shoes;85308;3361;2019-12-13T02:23:59;false;Customer Plastic;2019-12-12T14:44:16
3;31518;navigate Unbranded;23678;2182;2019-12-12T09:56:14;true;Liaison Vermont;2019-12-12T05:01:56
4;39344;navigating;78771;26015;2019-12-12T12:31:47;true;Strategist Customizable;2019-12-12T11:48:57
5;72515;salmon;33826;46393;2019-12-12T20:06:26;true;Personal Loan Account e-business Steel;2019-12-12T23:53:09
6;72000;ROI;8884;85061;2019-12-12T11:06:21;true;Wallis and Futuna Concrete;2019-12-12T06:52:22
7;40397;Bahrain wireless Mali;61290;8172;2019-12-12T22:05:18;false;Berkshire Keyboard Branding;2019-12-12T07:07:00
8;21609;Practical AI Ports;74928;54543;2019-12-12T20:32:30;false;Avon cross-platform Wall;2019-12-13T02:16:08
9;79398;Bedfordshire end-to-end GB;54484;33021;2019-12-12T09:18:50;true;Andorra yellow SMTP;2019-12-12T06:24:22
10;16161;Enterprise-wide Division Wyoming;75072;77201;2019-12-12T14:07:28;false;Ergonomic Granite Pants Product;2019-12-12T14:35:13
