id;order_date;expected_delivery_date;supplier_reference;is_order_finalized;comments;internal_comments;last_edited_by;last_edited_when
1;2019-12-12T23:53:58;2019-12-12T07:20:21;interface Saint Lucia;59034;Borders array Delaware;Refined New York PNG;Keyboard Overpass;2019-12-13T03:17:30
2;2019-12-12T08:02:02;2019-12-12T21:35:44;circuit Engineer Intelligent;40149;bluetooth orange Saint Barthelemy;generating Savings Account Indian Rupee;haptic Macedonia;2019-12-13T03:23:25
3;2019-12-12T07:09:46;2019-12-12T09:15:08;Sports back up ivory;95807;cross-platform pricing structure Pizza;Trail;Liaison 24/365;2019-12-12T16:44:57
4;2019-12-12T12:04:31;2019-12-12T10:11:11;SSL Savings Account reintermediate;41262;Costa Rican Colon;Kids;e-business;2019-12-12T08:27:19
5;2019-12-12T18:12:42;2019-12-13T01:17:02;Utah Mission;64232;Ergonomic Rubber Bike Oklahoma Arizona;Buckinghamshire Auto Loan Account;3rd generation copying;2019-12-12T15:33:28
6;2019-12-12T12:14:25;2019-12-13T01:39:59;Handcrafted Plastic Fish;78489;program neural Borders;enable Plastic;communities Fantastic green;2019-12-12T13:09:31
7;2019-12-12T08:16:59;2019-12-12T09:51:36;Producer Paradigm deposit;42124;withdrawal digital;Som;calculating scale West Virginia;2019-12-12T13:24:34
8;2019-12-12T22:38:43;2019-12-12T23:05:18;holistic strategic;2619;Toys generating neutral;Paradigm solid state;systematic;2019-12-12T17:12:15
9;2019-12-12T22:06:10;2019-12-12T06:34:14;indexing turquoise;80264;View Buckinghamshire;deposit;circuit;2019-12-12T15:36:03
10;2019-12-12T05:41:26;2019-12-12T17:01:53;driver bypass Bike;61022;Cotton;Dynamic Ville Movies;Small Plastic Chair;2019-12-12T21:14:06
