id;quantity;last_edited_by;last_edited_when
1;80224;exploit;2019-12-12T17:29:14
2;59357;Plastic;2019-12-12T17:15:20
3;45128;Metal;2019-12-12T16:38:17
4;75886;Awesome Avon digital;2019-12-12T05:02:56
5;47454;collaborative back-end;2019-12-12T14:48:51
6;39419;synthesizing Berkshire;2019-12-12T16:11:27
7;80546;cutting-edge Refined Rubber Shirt;2019-12-12T13:24:25
8;33329;Buckinghamshire Virginia Triple-buffered;2019-12-12T08:27:42
9;60457;Greece Colorado;2019-12-12T04:02:12
10;23884;Security product Mouse;2019-12-12T16:27:37
