id;total_price;total_cargo_price;last_edited_by;last_edited_when
1;66733;68443;Buckinghamshire;2019-12-12T09:09:11
2;21019;48529;Bacon;2019-12-12T11:57:30
3;53652;17238;SSL Home Loan Account Computer;2019-12-12T04:25:14
4;64306;51836;Awesome Rubber Ball Assimilated back-end;2019-12-12T07:53:20
5;62230;97894;Bedfordshire Rue program;2019-12-13T00:20:14
6;52088;54691;Slovenia Gorgeous e-tailers;2019-12-12T07:02:16
7;62;85615;Unbranded Handmade analyzing;2019-12-12T06:31:20
8;44750;12890;driver;2019-12-13T01:05:18
9;61618;62313;customized wireless Compatible;2019-12-12T12:10:33
10;27416;23568;application;2019-12-12T06:32:54
