id;code;name;sales_territory;border;latest_recorded_population;valid_from;valid_to
1;Awesome Russian Federation;Pennsylvania Michigan;Cotton encompassing;Dynamic Home Loan Account;24435;2019-12-12T18:58:10;2019-12-12T15:33:28
2;methodology Integration Music;Pants;Avon;blue scalable Car;89676;2019-12-12T07:18:01;2019-12-13T01:35:24
3;Andorra;Rand Namibia Dollar Executive;incubate Agent TCP;Engineer Bedfordshire feed;82086;2019-12-12T05:12:39;2019-12-12T10:16:22
4;Mexico Gardens;override silver orchestration;tan program;Metal Auto Loan Account;28863;2019-12-13T01:25:14;2019-12-12T13:33:58
5;Sausages Haven;Checking Account frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;8786;2019-12-12T21:24:16;2019-12-13T00:11:02
6;Shoes Rubber Mall;users scalable;transmitting parse infrastructures;matrix Implementation Shirt;6649;2019-12-12T05:16:52;2019-12-12T09:43:44
7;Arizona synthesizing Fresh;override back-end hacking;open-source;payment National;31619;2019-12-12T06:27:47;2019-12-12T13:23:47
8;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;90647;2019-12-12T22:01:09;2019-12-12T12:32:03
9;Cotton Tactics;array Belize Dollar;optical;Borders reboot;57315;2019-12-12T08:35:22;2019-12-12T03:34:17
10;copy;Robust hack Electronics;application Cambridgeshire;scalable connecting Fantastic;84645;2019-12-12T16:32:52;2019-12-13T00:27:21
