id;quantity_on_hand;bin_location;last_stocktake_quantity;last_cost_price;reorder_level;targer_stock_level
1;21657;USB;8710;91920;48738;42377
2;69141;well-modulated Investment Account;82938;48904;19033;35164
3;91722;Mayotte process improvement schemas;31219;34184;72511;43369
4;79630;copying Consultant solid state;60138;62321;33922;74162
5;54459;Refined Soft Shirt Cape Tools;6250;67375;38746;45035
6;58342;Island Credit Card Account Estates;66170;74936;21912;54569
7;11284;Money Market Account;48468;74860;2686;48260
8;38048;Tasty;53135;71512;39577;95713
9;61315;online superstructure;96210;52504;53563;70727
10;61829;Cayman Islands Dollar;66673;12344;51097;20598
