id;transaction_occured_when;quantity;last_edited_by;last_edited_when
1;2019-12-12T17:36:06;34292;Som;2019-12-13T02:54:28
2;2019-12-13T01:46:53;69004;solution Handmade Rubber Pants;2019-12-12T21:44:13
3;2019-12-13T01:25:35;38680;Awesome;2019-12-12T23:59:03
4;2019-12-12T22:32:48;29797;Intelligent Internal;2019-12-13T03:22:16
5;2019-12-12T17:58:54;48386;Soft;2019-12-12T20:07:55
6;2019-12-12T19:17:17;92605;Towels;2019-12-12T04:20:11
7;2019-12-12T13:33:31;20579;compress Jersey SQL;2019-12-12T14:13:14
8;2019-12-13T01:34:24;53455;lime Gloves Investor;2019-12-12T19:38:53
9;2019-12-12T22:41:09;37208;hack clicks-and-mortar Optimization;2019-12-12T09:48:22
10;2019-12-12T13:31:16;59742;HTTP Incredible Concrete Shoes;2019-12-12T16:21:19
