id;name;vendor_code;vendor_sku;generated_sku;barcode;unit_price;recommended_retail_price;quantity_on_hand;item_length;item_width;item_height;item_weight;item_package_length;item_package_width;item_package_height;item_package_weight;no_of_pieces;no_of_items;manufacture;marketing_comments;internal_comments;sell_start_date;sell_end_date;sell_count;custom_fields;thumbnail_url;active_ind;last_edited_by;last_edited_when
1;AI Maryland;Tasty Metal Cheese system;panel incubate Organic;JSON cultivate;extensible New Caledonia;21163;46928;99563;44305;98111;49414;64950;86104;80441;46116;71510;93993;59315;Tasty Granite Bacon Indian Rupee Ngultrum;PCI Tasty Corporate;Avon Pakistan Rupee;2019-12-12T10:47:06;2019-12-12T04:08:04;64863;leading edge;calculate;true;initiatives magenta;2019-12-13T02:29:59
2;North Dakota Street;Car Clothing auxiliary;Chicken Street;wireless Interactions;withdrawal Markets;88161;15369;58449;57260;83379;27701;64257;92130;7855;58319;74056;59284;9490;Checking Account Kwanza;communities;Investor;2019-12-12T12:43:29;2019-12-12T06:22:22;24628;Qatari Rial Savings Account Cambridgeshire;SMTP grey transmitter;false;back-end Manager Electronics;2019-12-12T05:58:46
3;Home Loan Account Orchestrator Views;bypass Plastic robust;Coordinator quantifying;Chief architecture Honduras;Practical Concrete Mouse Multi-layered Causeway;26856;94238;10097;7482;16749;43845;14727;52988;97307;98530;75929;16602;96776;synergies;Bacon;migration;2019-12-12T20:19:51;2019-12-12T22:14:35;23250;Fresh;viral;false;application Manager Bacon;2019-12-12T05:57:31
4;navigate;JBOD;asymmetric;Buckinghamshire;hard drive;61721;80380;15598;13714;47849;58069;78055;50550;30362;14407;31168;62399;314;Shoes;Practical Way Graphic Interface;protocol full-range bleeding-edge;2019-12-12T22:56:19;2019-12-12T10:06:58;34706;Norway Consultant;CSS alliance;true;generating;2019-12-12T03:46:10
5;Chief implement sky blue;Run withdrawal;Buckinghamshire quantifying;Fresh redundant;open system;45398;41614;76244;51385;12600;90329;19641;88988;95144;81785;17549;51014;56772;Montana Cambridgeshire withdrawal;Designer;scale withdrawal Wooden;2019-12-12T13:48:54;2019-12-12T07:00:12;18527;systematic;Bedfordshire;false;Product Personal Loan Account Wisconsin;2019-12-12T14:06:21
6;enable cross-platform;solid state;Senior efficient;generating cross-platform Chips;Electronics Down-sized Tajikistan;52195;24966;58893;26324;75167;65;62347;87066;60028;79259;5351;62732;37653;Decentralized high-level Guam;Gorgeous;Up-sized Program;2019-12-12T04:50:39;2019-12-12T20:31:16;60994;Future;Customer Avenue Springs;true;Soap Buckinghamshire convergence;2019-12-12T13:11:25
7;Representative navigate repurpose;Drive Kwanza override;world-class;Polarised European Unit of Account 9(E.U.A.-9);Buckinghamshire Avon;5024;62632;3491;27847;55115;85298;43817;92838;83918;99639;16067;79600;2497;Field Fundamental Practical Metal Cheese;Investor;upward-trending;2019-12-12T23:21:08;2019-12-12T10:49:16;37975;digital streamline;Connecticut invoice white;true;COM programming Markets;2019-12-12T18:44:05
8;access;navigating Belize copy;action-items;Garden;multi-tasking Unbranded Metal Ball Home Loan Account;65338;67849;19230;31754;29565;84810;61961;94716;59962;88485;50633;73906;35041;Product;Architect Baby;Pitcairn Islands extensible methodologies;2019-12-12T08:26:55;2019-12-12T20:01:52;27812;Steel hierarchy;asymmetric rich connecting;true;lavender brand Implementation;2019-12-13T02:01:57
9;Gorgeous;pixel;Pants;Lock Global white;Center;66191;90476;75117;64751;75386;27304;57789;17719;90435;29426;81740;11479;75704;Licensed Steel Shoes fuchsia deposit;interface SCSI;Legacy Product;2019-12-12T19:58:59;2019-12-12T20:20:37;69105;grid-enabled;microchip;true;Investment Account IB;2019-12-12T07:46:35
10;Fish;Bouvet Island (Bouvetoya) national;Paradigm Rubber;e-commerce Soap Cotton;customized Incredible Concrete Fish;1517;65866;58141;93155;10585;82098;87301;56660;52314;65703;69968;89838;41085;Kentucky Solutions;compressing;primary Awesome Practical;2019-12-12T18:50:21;2019-12-13T00:40:01;9216;Hawaii Business-focused Investor;feed Kids invoice;true;Refined;2019-12-12T23:22:32
