id;name;valid_from;valid_to
1;Curve Health Handcrafted Cotton Shirt;2019-12-12T15:59:50;2019-12-12T04:07:23
2;port payment;2019-12-12T09:20:47;2019-12-12T06:52:23
3;solid state Handmade Granite Fish Rustic;2019-12-12T21:42:24;2019-12-13T01:02:55
4;Delaware Health Borders;2019-12-12T22:28:03;2019-12-12T10:39:24
5;Rhode Island Automotive;2019-12-12T19:40:51;2019-12-13T01:46:40
6;Belize PCI;2019-12-13T01:32:08;2019-12-13T02:43:08
7;Fantastic monetize Frozen;2019-12-12T13:53:42;2019-12-12T22:41:43
8;Turkish Lira overriding Rustic Metal Computer;2019-12-12T04:40:44;2019-12-12T12:14:30
9;circuit;2019-12-13T02:45:28;2019-12-12T13:14:28
10;Checking Account Home Loan Account orchestration;2019-12-12T05:04:16;2019-12-12T06:36:46
