id;imported_template;imported_template_content_type;imported_failed_template;imported_failed_template_content_type;last_edited_by;last_edited_when
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;superstructure invoice;2019-12-12T19:07:00
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Branding Practical Rubber Pizza Wisconsin;2019-12-12T11:51:05
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Pre-emptive seamless transmitting;2019-12-12T22:50:17
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;synthesizing Montana;2019-12-12T09:13:28
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;interface;2019-12-12T22:32:11
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Delaware SDD;2019-12-12T17:08:45
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Executive Grove;2019-12-13T00:05:23
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;productize Assurance workforce;2019-12-12T06:40:57
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;SQL open-source Handcrafted;2019-12-12T10:07:39
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;access wireless;2019-12-12T16:53:35
