id;name;valid_from;valid_to
1;Tools Street;2019-12-12T13:57:35;2019-12-12T13:25:01
2;reciprocal;2019-12-12T10:22:42;2019-12-12T16:38:13
3;Malaysia supply-chains;2019-12-12T17:53:51;2019-12-12T15:35:15
4;hack Intelligent;2019-12-12T19:29:28;2019-12-12T06:49:59
5;Mobility;2019-12-12T18:33:23;2019-12-12T20:58:50
6;Dynamic;2019-12-12T14:52:41;2019-12-12T17:42:22
7;Industrial Pizza bus;2019-12-12T11:42:06;2019-12-12T17:43:27
8;Cyprus;2019-12-12T21:25:21;2019-12-12T21:58:12
9;Moldovan Leu;2019-12-13T03:02:33;2019-12-12T13:14:05
10;impactful;2019-12-12T13:50:57;2019-12-12T23:13:50
