id;vehicle_registration;chiller_sensor_number;recorded_when;temperature;is_compressed;full_sensor_data;compressed_sensor_data
1;93489;payment Direct;45650;37582;false;Web;Estate virtual
2;22047;Shoes;40633;85312;true;capacitor infrastructures Berkshire;Industrial
3;85516;B2B payment;71489;10948;false;circuit Web Engineer;sensor
4;77682;UAE Dirham Investment Account Direct;7862;50915;false;Intuitive;maroon Romania Developer
5;80053;overriding;63526;28128;false;white Lead;RAM Developer
6;34157;global;709;99797;true;navigating Frozen Tuna;calculate Books Rubber
7;63308;Regional;62374;76973;false;Cotton parsing Cotton;back up Avon
8;89753;International Incredible Implementation;82553;81371;true;sky blue;Facilitator Plastic Usability
9;18289;Delaware;37700;53758;true;multimedia utilize;Operations Sleek Wooden Ball Clothing
10;56685;Program;66594;59935;true;Automotive Trinidad and Tobago;sensor bypassing
